2015-01-10 18:48:41 - infiSTAR.de AdminLog | 0h 41min | Ludacris PlayerMarkers Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 18:48:41 - infiSTAR.de AdminLog | 0h 41min | Gandalf VAULTMarker Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 18:48:42 - infiSTAR.de AdminLog | 0h 41min | Ludacris (locked) VEHICLEMarkers Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 18:48:42 - infiSTAR.de AdminLog | 0h 41min | Gandalf VEINEMarker Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 18:48:42 - infiSTAR.de AdminLog | 0h 41min | Ludacris DEADMarker Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 18:48:43 - infiSTAR.de AdminLog | 0h 41min | Ludacris WRECK Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 18:48:43 - infiSTAR.de AdminLog | 0h 41min | Ludacris TentMarker Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 18:48:44 - infiSTAR.de AdminLog | 0h 41min | Gandalf WRECK Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 18:48:45 - infiSTAR.de AdminLog | 0h 41min | Ludacris VEINEMarker Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 18:48:45 - infiSTAR.de AdminLog | 0h 41min | Ludacris TentMarker Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 18:48:46 - infiSTAR.de AdminLog | 0h 41min | Ludacris TentMarker Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 18:48:46 - infiSTAR.de AdminLog | 0h 41min | Ludacris VAULTMarker Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 18:48:47 - infiSTAR.de AdminLog | 0h 41min | Ludacris PlotPoleMarker Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 18:49:36 - infiSTAR.de AdminLog | 0h 42min | Ludacris DEADMarker Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 18:49:40 - infiSTAR.de AdminLog | 0h 42min | Ludacris (locked) VEHICLEMarkers Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 18:49:41 - infiSTAR.de AdminLog | 0h 42min | Ludacris (unlocked) VEHICLEMarkers Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 18:49:43 - infiSTAR.de AdminLog | 0h 42min | Ludacris PlayerMarkers Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 18:51:16 - infiSTAR.de AdminLog | 0h 43min | Gandalf G_o_d ON   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 18:57:59 - infiSTAR.de AdminLog | 0h 50min | Ludacris No Zed Aggro - On   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 18:59:23 - infiSTAR.de AdminLog | 0h 52min | Ludacris - added MeleeCrowbar to his inventory   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:08:11 - infiSTAR.de AdminLog | 1h 00min | Ludacris adminammo_recoil ON   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:13:20 - infiSTAR.de AdminLog | 1h 05min | Ludacris - added Javelin to his inventory   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:13:24 - infiSTAR.de AdminLog | 1h 06min | Ludacris - added Javelin to his inventory   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:14:10 - infiSTAR.de AdminLog | 1h 06min | Ludacris (76561198053094647) spawned Chukar @086054   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:15:50 - infiSTAR.de AdminLog | 1h 08min | Ludacris - SMALL SUPPLY PACKAGE @086054   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:16:49 - infiSTAR.de AdminLog | 1h 09min | Ludacris - MEDIUM SUPPLY PACKAGE @086054   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:16:59 - infiSTAR.de AdminLog | 1h 09min | Ludacris - LARGE SUPPLY PACKAGE @086054   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:17:38 - infiSTAR.de AdminLog | 1h 10min | Ludacris - BOX-ALL @086054   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
